USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,mental,physical,temp,perf,effort,frust,time,viewdoc,viewtopic
0,31,male,Colombian,4,pg,med,0,325,XIE19991105.0220,1,55,15,35,75,15,25,66412,1,0
0,31,male,Colombian,4,pg,sml,0,399,XIE19991018.0105,0,35,15,15,95,15,15,40893,1,0
0,31,male,Colombian,4,pg,med,2,625,APW19990225.0090,2,35,25,25,85,35,20,65847,2,1
0,31,male,Colombian,4,pg,lrg,0,401,NYT19990508.0098,0,30,25,25,95,35,15,56479,1,0
0,31,male,Colombian,4,pg,lrg,2,651,NYT19980804.0111,1,40,35,35,85,30,15,88848,1,0
0,31,male,Colombian,4,pg,med,1,344,APW19980814.0273,1,45,40,35,85,40,25,85014,1,0
0,31,male,Colombian,4,pg,sml,1,310,XIE19970830.0001,2,35,25,30,85,45,20,52335,1,0
0,31,male,Colombian,4,pg,sml,2,439,XIE19971009.0224,2,25,25,25,95,25,15,35724,1,0
0,31,male,Colombian,4,pg,lrg,1,622,APW19990111.0218,0,50,55,35,75,45,25,52456,2,1
1,43,male,German,4,staff,med,2,362,NYT19990922.0390,2,55,20,30,90,30,5,69154,1,0
1,43,male,German,4,staff,lrg,0,367,NYT19990521.0344,0,55,65,25,85,25,5,72009,1,0
1,43,male,German,4,staff,sml,2,393,APW19981123.1239,2,55,15,30,95,30,5,62941,1,0
1,43,male,German,4,staff,med,1,303,XIE19960617.0065,1,55,15,60,60,30,30,101540,1,0
1,43,male,German,4,staff,sml,1,394,XIE19990922.0174,0,90,80,75,60,90,45,158687,2,1
1,43,male,German,4,staff,med,0,330,XIE19970114.0120,0,75,35,65,90,55,15,136965,1,0
1,43,male,German,4,staff,lrg,2,344,NYT19980821.0517,1,85,85,85,75,85,60,239993,2,1
1,43,male,German,4,staff,lrg,1,419,NYT20000318.0109,0,40,80,80,75,80,45,136162,1,0
1,43,male,German,4,staff,sml,0,426,XIE19991214.0067,0,35,45,35,95,35,5,33318,2,1
2,34,female,Italian,3,staff,med,0,448,APW19990217.0184,1,60,25,30,80,30,45,233457,3,2
2,34,female,Italian,3,staff,lrg,2,344,NYT19981023.0168,0,70,40,35,40,80,60,672900,3,2
2,34,female,Italian,3,staff,sml,2,638,APW19990207.0090,1,50,15,25,70,40,20,292040,2,1
2,34,female,Italian,3,staff,sml,0,362,XIE19981223.0011,0,20,10,20,60,10,10,88146,1,0
2,34,female,Italian,3,staff,lrg,0,427,NYT19990804.0075,0,40,10,60,90,30,5,442248,1,0
2,34,female,Italian,3,staff,sml,1,404,XIE19970108.0277,0,70,40,10,40,60,80,136312,3,2
2,34,female,Italian,3,staff,med,2,354,XIE20000827.0330,0,50,20,10,40,60,45,189676,2,1
2,34,female,Italian,3,staff,med,1,307,XIE19970121.0185,0,55,20,30,65,30,40,240508,2,1
2,34,female,Italian,3,staff,lrg,1,389,APW19990501.0141,2,70,50,60,70,70,30,438951,2,1
3,36,male,Colombian,4,ug,sml,0,389,XIE19991130.0099,0,45,10,10,90,20,15,56087,2,1
3,36,male,Colombian,4,ug,sml,2,310,XIE20000425.0267,1,50,10,10,90,10,10,49215,1,0
3,36,male,Colombian,4,ug,sml,1,303,XIE19980117.0012,0,5,5,10,100,5,5,28442,1,0
3,36,male,Colombian,4,ug,lrg,0,399,NYT19990202.0129,0,50,15,5,75,20,10,74112,2,1
3,36,male,Colombian,4,ug,med,2,433,NYT20000626.0125,0,45,5,5,85,10,5,62554,1,0
3,36,male,Colombian,4,ug,lrg,1,354,NYT19990720.0196,1,5,5,5,100,5,5,25299,2,1
3,36,male,Colombian,4,ug,med,0,439,XIE20000513.0192,0,5,5,5,100,5,5,34060,1,0
3,36,male,Colombian,4,ug,lrg,2,639,APW19990929.0195,1,30,10,5,70,5,5,39436,1,0
3,36,male,Colombian,4,ug,med,1,378,XIE19960723.0019,2,15,5,5,95,5,5,30260,1,0
4,31,male,USA,5,staff,med,0,625,APW20000502.0031,0,25,5,20,100,25,5,39638,1,0
4,31,male,USA,5,staff,lrg,1,638,NYT20000518.0293,0,45,5,25,90,35,10,111469,1,0
4,31,male,USA,5,staff,sml,0,419,XIE19970905.0238,0,40,5,20,100,15,5,31426,1,0
4,31,male,USA,5,staff,sml,1,436,APW19990913.0059,1,60,5,35,80,35,5,49662,2,1
4,31,male,USA,5,staff,sml,2,393,XIE19961002.0174,2,25,5,30,95,20,10,46569,1,0
4,31,male,USA,5,staff,lrg,2,303,NYT19990106.0221,2,20,5,25,100,10,5,33924,1,0
4,31,male,USA,5,staff,med,2,408,APW19981018.0298,2,25,5,25,100,10,5,26465,1,0
4,31,male,USA,5,staff,lrg,0,374,APW20000816.0075,0,45,5,50,80,30,5,42887,1,0
4,31,male,USA,5,staff,med,1,378,APW19980924.0735,0,70,5,40,85,55,5,33407,1,0
5,28,male,Spanish,4,staff,med,1,378,APW19980907.0709,1,55,10,60,45,70,25,57704,2,1
5,28,male,Spanish,4,staff,med,2,303,APW19990210.0167,1,40,10,55,60,60,30,86849,2,1
5,28,male,Spanish,4,staff,med,0,409,APW19980621.0438,0,25,10,20,70,35,15,77927,2,1
5,28,male,Spanish,4,staff,sml,1,648,APW20000126.0364,1,40,15,30,35,25,15,75925,2,1
5,28,male,Spanish,4,staff,lrg,2,383,NYT19990920.0246,1,45,15,25,30,35,30,63278,2,1
5,28,male,Spanish,4,staff,sml,0,443,XIE19960710.0011,1,45,15,25,45,20,15,53573,2,1
5,28,male,Spanish,4,staff,lrg,0,367,NYT19990702.0265,0,85,15,75,80,70,40,118839,1,0
5,28,male,Spanish,4,staff,lrg,1,341,NYT19991221.0279,1,30,10,20,60,30,15,71185,1,0
5,28,male,Spanish,4,staff,sml,2,435,XIE20000216.0030,0,45,10,30,50,30,15,73761,2,1
6,44,male,Irish,5,nodegree,lrg,0,325,NYT19991028.0201,0,65,20,55,90,65,60,59664,1,0
6,44,male,Irish,5,nodegree,sml,0,363,APW19980604.0808,0,25,25,25,85,40,20,38027,1,0
6,44,male,Irish,5,nodegree,med,1,378,APW19990726.0191,2,40,30,50,80,65,15,46108,1,0
6,44,male,Irish,5,nodegree,med,2,383,APW19990329.0167,2,55,35,30,85,60,35,67789,1,0
6,44,male,Irish,5,nodegree,lrg,1,448,APW19981229.0190,2,60,30,30,70,50,35,60946,1,0
6,44,male,Irish,5,nodegree,lrg,2,435,XIE19970204.0117,2,25,25,25,90,20,20,42344,1,0
6,44,male,Irish,5,nodegree,sml,1,354,APW19981202.0330,2,10,15,15,90,30,20,41491,1,0
6,44,male,Irish,5,nodegree,med,0,341,APW19981029.1590,0,55,30,45,60,65,65,59130,2,1
