USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,GLASSES,DODGYEYES,TOPIC,DIFF,VIS,mental,physical,temp,perf,effort,frust,IMAGE,TREL,SIZE,urel,time,viewdoc,viewtopic
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,60,medium_hard,medium_visual,75,5,5,100,100,5,Apr-49,1,med,1,4167,1,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,60,medium_hard,medium_visual,75,5,5,100,100,5,26/26942,1,sml,1,2534,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,60,medium_hard,medium_visual,75,5,5,100,100,5,38/38820,0,sml,0,2231,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,60,medium_hard,medium_visual,75,5,5,100,100,5,30/30825,0,med,0,2069,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,60,medium_hard,medium_visual,75,5,5,100,100,5,24/24707,1,lrg,1,4772,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,60,medium_hard,medium_visual,75,5,5,100,100,5,Aug-64,0,lrg,0,3415,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,9,very_difficult,semantic,85,15,40,90,100,25,01/1158,1,sml,0,6654,1,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,9,very_difficult,semantic,85,15,40,90,100,25,35/35570,0,med,0,2869,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,9,very_difficult,semantic,85,15,40,90,100,25,Sep-40,1,lrg,1,2485,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,9,very_difficult,semantic,85,15,40,90,100,25,12/12724,0,sml,0,1994,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,9,very_difficult,semantic,85,15,40,90,100,25,01/1251,0,lrg,1,2814,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,9,very_difficult,semantic,85,15,40,90,100,25,25/25236,1,med,1,1966,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,10,medium_hard,semantic,100,35,50,75,100,60,27/27630,1,sml,1,2426,1,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,10,medium_hard,semantic,100,35,50,75,100,60,37/37877,0,sml,0,2236,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,10,medium_hard,semantic,100,35,50,75,100,60,27/27503,1,med,1,2237,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,10,medium_hard,semantic,100,35,50,75,100,60,27/27351,1,lrg,1,2712,0,0
5509bed436603,26,male,Portuguese,4,ug,no-glasses,,10,medium_hard,semantic,100,35,50,75,100,60,10/10387,0,med,1,5655,0,0
