USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,SIZE,TREL,TOPIC,DOC,urel,time,viewdoc,viewtopic,mental,physical,temp,perf,effort,frust
54f05dab7eb2c,24,female,greek,4,staff,med,2,638,APW19990111.0200,2,37637,1,0,70,70,70,70,70,70
54f05dab7eb2c,24,female,greek,4,staff,lrg,1,638,NYT20000507.0172,1,12685,1,0,60,60,80,80,70,90
54f05dab7eb2c,24,female,greek,4,staff,sml,1,689,XIE19970730.0018,1,8233,1,0,85,90,90,90,80,85
54f05dab7eb2c,24,female,greek,4,staff,med,1,399,XIE19960705.0230,0,7993,1,0,40,35,35,25,25,35
54f05dab7eb2c,24,female,greek,4,staff,sml,2,651,NYT19980819.0112,2,7342,1,0,80,80,85,85,90,85
54f05dab7eb2c,24,female,greek,4,staff,lrg,0,383,NYT19991225.0034,1,8164,1,0,70,80,80,80,70,65
54f05dab7eb2c,24,female,greek,4,staff,med,2,689,NYT20000717.0494,1,6497,1,0,50,50,60,50,45,55
54f05dab7eb2c,24,female,greek,4,staff,sml,0,443,XIE19981218.0445,0,8903,1,0,25,25,15,15,15,15
54f05dab7eb2c,24,female,greek,4,staff,lrg,0,310,APW20000702.0012,1,8740,1,0,50,45,45,50,50,45
54f05db764b43,24,male,Romania,4,ug,sml,0,393,APW19980703.0721,0,58678,1,0,25,5,60,85,65,25
54f05db764b43,24,male,Romania,4,ug,sml,0,439,XIE19960610.0109,2,54786,1,0,75,5,60,80,65,35
54f05db764b43,24,male,Romania,4,ug,lrg,1,689,NYT19991115.0318,1,71142,1,0,100,5,80,65,85,65
54f05db764b43,24,male,Romania,4,ug,lrg,2,419,NYT20000826.0024,2,28965,1,0,35,20,30,85,25,5
54f05db764b43,24,male,Romania,4,ug,med,1,325,XIE19990809.0192,1,31976,1,0,60,5,45,65,35,25
54f05db764b43,24,male,Romania,4,ug,med,2,372,APW19990617.0021,2,12700,1,0,15,5,20,90,10,5
54f05db764b43,24,male,Romania,4,ug,med,2,435,XIE19980711.0127,2,17038,1,0,20,5,25,75,35,10
54f05db764b43,24,male,Romania,4,ug,sml,1,397,APW19990628.0174,2,12065,1,0,10,5,25,80,15,20
54f05db764b43,24,male,Romania,4,ug,lrg,0,347,NYT19990810.0261,1,32382,1,0,50,15,35,60,30,75
54f05e3b28ce9,26,male,Serbia,3,pg,med,2,651,NYT19980903.0146,2,110560,1,0,95,60,60,60,35,20
54f05e3b28ce9,26,male,Serbia,3,pg,med,0,383,XIE19991111.0073,0,32118,1,0,85,85,85,75,75,55
54f05e3b28ce9,26,male,Serbia,3,pg,sml,1,397,APW20000420.0075,2,23890,1,0,75,75,70,70,65,55
54f05e3b28ce9,26,male,Serbia,3,pg,med,2,648,XIE19970202.0189,2,89641,2,1,85,70,70,65,70,65
54f05e3b28ce9,26,male,Serbia,3,pg,sml,0,650,XIE19980624.0301,1,30228,1,0,60,60,60,60,60,60
54f05e3b28ce9,26,male,Serbia,3,pg,lrg,0,375,NYT19990712.0191,2,20478,1,0,65,65,65,65,65,65
54f05e3b28ce9,26,male,Serbia,3,pg,lrg,2,401,NYT19990223.0221,2,36416,1,0,75,75,75,75,75,75
54f05e3b28ce9,26,male,Serbia,3,pg,lrg,1,344,NYT19990509.0127,0,43326,1,0,65,70,65,65,65,65
54f05e3b28ce9,26,male,Serbia,3,pg,sml,1,625,XIE19991201.0070,1,30336,1,0,60,60,60,60,60,60
54f07660636ec,23,NA,Turkish,4,ug,lrg,0,443,NYT20000522.0104,1,111391,1,0,50,55,50,60,50,60
54f07660636ec,23,NA,Turkish,4,ug,lrg,1,367,APW20000425.0096,2,26211,1,0,70,65,65,60,70,75
54f07660636ec,23,NA,Turkish,4,ug,sml,1,330,APW19980929.0637,2,9484,1,0,65,65,55,65,55,65
54f07660636ec,23,NA,Turkish,4,ug,sml,0,433,XIE19960824.0012,0,17908,1,0,60,25,75,30,30,40
54f07660636ec,23,NA,Turkish,4,ug,sml,2,409,NYT19990823.0175,2,26361,1,0,65,65,65,60,60,65
54f07660636ec,23,NA,Turkish,4,ug,med,0,408,NYT19990823.0239,1,6755,1,0,30,65,45,70,50,60
54f07660636ec,23,NA,Turkish,4,ug,med,1,443,XIE20000702.0171,1,5478,1,0,60,50,60,60,50,60
54f07660636ec,23,NA,Turkish,4,ug,lrg,2,322,NYT19990527.0260,1,5516,1,0,65,50,60,55,65,45
54f07660636ec,23,NA,Turkish,4,ug,med,2,401,APW19980728.0341,1,9350,1,0,70,45,70,50,65,45
54f076676676c,25,female,Bosnian,4,staff,lrg,2,404,NYT19980803.0130,1,12733,1,0,60,50,60,50,65,45
54f076676676c,25,female,Bosnian,4,staff,lrg,1,330,XIE19990110.0080,1,9743,1,0,55,45,55,35,60,35
54f076676676c,25,female,Bosnian,4,staff,lrg,2,650,NYT20000901.0180,1,7635,1,0,40,60,40,65,40,65
54f076676676c,25,female,Bosnian,4,staff,med,2,393,APW19990325.0180,1,7118,1,0,55,45,50,25,65,45
54f076676676c,25,female,Bosnian,4,staff,sml,0,638,APW19981020.0467,1,6491,1,0,55,45,50,35,45,45
54f076676676c,25,female,Bosnian,4,staff,sml,0,372,APW19990803.0196,1,5465,1,0,60,45,50,35,55,40
54f076676676c,25,female,Bosnian,4,staff,med,1,336,NYT20000914.0335,1,9134,1,0,45,50,40,50,60,35
54f076676676c,25,female,Bosnian,4,staff,sml,0,639,XIE20000622.0135,1,3583,1,0,55,40,45,35,40,40
54f076676676c,25,female,Bosnian,4,staff,med,1,689,NYT19991009.0012,1,5528,1,0,55,40,40,45,40,60
54f07675a0caa,25,male,Bosnian,4,pg,med,1,625,APW19990519.0114,2,35672,2,1,65,60,40,85,60,55
54f07675a0caa,25,male,Bosnian,4,pg,med,2,314,APW19990505.0156,1,446828,1,0,55,35,75,50,70,45
