USER,AGE,GENDER,COUNTRY,ENGLISH,EDUCATION,GLASSES,DODGYEYES,TOPIC,DIFF,VIS,TREL,SIZE,IMAGE,urel,mental,physical,temp,perf,effort,frust,time,viewdoc,viewtopic
0,34,male,Irish,5,pg,no-glasses,,18,difficult,medium_visual,1,sml,38/38226,0,45,25,60,35,70,70,16313,1,0
0,34,male,Irish,5,pg,no-glasses,,18,difficult,medium_visual,1,lrg,35/35870,2,45,25,60,35,70,70,16575,1,1
0,34,male,Irish,5,pg,no-glasses,,18,difficult,medium_visual,1,med,15/15400,0,45,25,60,35,70,70,12706,0,0
0,34,male,Irish,5,pg,no-glasses,,18,difficult,medium_visual,0,sml,31/31533,0,45,25,60,35,70,70,5540,0,0
0,34,male,Irish,5,pg,no-glasses,,18,difficult,medium_visual,0,lrg,31/31043,2,45,25,60,35,70,70,8431,1,1
0,34,male,Irish,5,pg,no-glasses,,18,difficult,medium_visual,0,med,30/30634,0,45,25,60,35,70,70,3709,0,0
0,34,male,Irish,5,pg,no-glasses,,16,medium_hard,semantic,0,lrg,38/38101,0,40,35,40,70,65,45,7482,1,0
0,34,male,Irish,5,pg,no-glasses,,16,medium_hard,semantic,1,med,38/38166,0,40,35,40,70,65,45,4531,0,0
0,34,male,Irish,5,pg,no-glasses,,16,medium_hard,semantic,1,sml,38/38265,2,40,35,40,70,65,45,5953,0,0
0,34,male,Irish,5,pg,no-glasses,,16,medium_hard,semantic,0,sml,11/11638,0,40,35,40,70,65,45,2268,0,0
0,34,male,Irish,5,pg,no-glasses,,16,medium_hard,semantic,1,lrg,38/38169,0,40,35,40,70,65,45,2981,0,0
0,34,male,Irish,5,pg,no-glasses,,16,medium_hard,semantic,0,med,38/38704,0,40,35,40,70,65,45,2752,0,0
0,34,male,Irish,5,pg,no-glasses,,22,easy,visual,1,sml,40/40573,2,35,35,40,90,40,30,14960,1,0
0,34,male,Irish,5,pg,no-glasses,,22,easy,visual,0,lrg,24/24034,0,35,35,40,90,40,30,2050,0,0
0,34,male,Irish,5,pg,no-glasses,,22,easy,visual,0,med,27/27221,0,35,35,40,90,40,30,2001,0,0
0,34,male,Irish,5,pg,no-glasses,,22,easy,visual,0,sml,31/31768,0,35,35,40,90,40,30,4268,0,0
0,34,male,Irish,5,pg,no-glasses,,22,easy,visual,1,lrg,32/32083,2,35,35,40,90,40,30,2667,0,0
0,34,male,Irish,5,pg,no-glasses,,22,easy,visual,1,med,31/31723,2,35,35,40,90,40,30,2177,0,0
0,34,male,Irish,5,pg,no-glasses,,17,easy,medium_visual,0,med,Jul-04,0,35,25,25,90,40,35,5637,1,0
0,34,male,Irish,5,pg,no-glasses,,17,easy,medium_visual,1,lrg,Mar-69,2,35,25,25,90,40,35,8691,0,0
0,34,male,Irish,5,pg,no-glasses,,17,easy,medium_visual,1,med,17/17876,2,35,25,25,90,40,35,2234,0,0
0,34,male,Irish,5,pg,no-glasses,,17,easy,medium_visual,0,sml,32/32883,0,35,25,25,90,40,35,1642,0,0
0,34,male,Irish,5,pg,no-glasses,,17,easy,medium_visual,0,lrg,Mar-04,0,35,25,25,90,40,35,2785,0,0
0,34,male,Irish,5,pg,no-glasses,,17,easy,medium_visual,1,sml,20/20124,2,35,25,25,90,40,35,2082,0,0
0,34,male,Irish,5,pg,no-glasses,,39,very_difficult,medium_visual,0,med,16/16040,0,45,45,70,90,20,20,6735,1,0
0,34,male,Irish,5,pg,no-glasses,,39,very_difficult,medium_visual,0,sml,14/14510,0,45,45,70,90,20,20,1512,0,0
0,34,male,Irish,5,pg,no-glasses,,39,very_difficult,medium_visual,0,lrg,23/23742,0,45,45,70,90,20,20,2202,0,0
0,34,male,Irish,5,pg,no-glasses,,39,very_difficult,medium_visual,1,sml,Sep-06,2,45,45,70,90,20,20,6896,0,0
0,34,male,Irish,5,pg,no-glasses,,39,very_difficult,medium_visual,1,med,Aug-56,2,45,45,70,90,20,20,2035,0,0
0,34,male,Irish,5,pg,no-glasses,,39,very_difficult,medium_visual,1,lrg,16/16671,2,45,45,70,90,20,20,2104,0,0
0,34,male,Irish,5,pg,no-glasses,,43,medium_hard,visual,0,med,Sep-69,0,10,10,15,95,15,15,5914,1,0
0,34,male,Irish,5,pg,no-glasses,,43,medium_hard,visual,0,lrg,12/12402,0,10,10,15,95,15,15,1689,0,0
0,34,male,Irish,5,pg,no-glasses,,43,medium_hard,visual,1,lrg,16/16709,2,10,10,15,95,15,15,1881,0,0
0,34,male,Irish,5,pg,no-glasses,,43,medium_hard,visual,0,sml,Jul-29,0,10,10,15,95,15,15,2073,0,0
0,34,male,Irish,5,pg,no-glasses,,43,medium_hard,visual,1,sml,Apr-09,2,10,10,15,95,15,15,1460,0,0
0,34,male,Irish,5,pg,no-glasses,,43,medium_hard,visual,1,med,18/18049,2,10,10,15,95,15,15,2298,0,0
0,34,male,Irish,5,pg,no-glasses,,2,difficult,semantic,0,sml,32/32871,0,55,20,45,40,75,55,5739,1,0
0,34,male,Irish,5,pg,no-glasses,,2,difficult,semantic,0,med,40/40325,0,55,20,45,40,75,55,3004,0,0
0,34,male,Irish,5,pg,no-glasses,,2,difficult,semantic,1,med,32/32866,0,55,20,45,40,75,55,3569,0,0
0,34,male,Irish,5,pg,no-glasses,,2,difficult,semantic,1,lrg,37/37169,2,55,20,45,40,75,55,4504,0,0
0,34,male,Irish,5,pg,no-glasses,,2,difficult,semantic,1,sml,32/32870,0,55,20,45,40,75,55,5258,0,0
0,34,male,Irish,5,pg,no-glasses,,2,difficult,semantic,0,lrg,40/40377,0,55,20,45,40,75,55,2051,0,0
0,34,male,Irish,5,pg,no-glasses,,4,very_difficult,semantic,0,lrg,35/35975,0,55,35,65,30,20,20,10956,2,1
0,34,male,Irish,5,pg,no-glasses,,4,very_difficult,semantic,0,med,32/32378,0,55,35,65,30,20,20,1786,0,0
0,34,male,Irish,5,pg,no-glasses,,4,very_difficult,semantic,1,lrg,Jul-37,2,55,35,65,30,20,20,3239,0,0
0,34,male,Irish,5,pg,no-glasses,,4,very_difficult,semantic,1,sml,24/24298,2,55,35,65,30,20,20,3064,0,0
0,34,male,Irish,5,pg,no-glasses,,4,very_difficult,semantic,1,med,22/22027,2,55,35,65,30,20,20,1431,0,0
0,34,male,Irish,5,pg,no-glasses,,4,very_difficult,semantic,0,sml,10/10927,0,55,35,65,30,20,20,1730,0,0
0,34,male,Irish,5,pg,no-glasses,,55,difficult,visual,1,lrg,25/25616,2,35,40,30,85,30,30,7402,1,0
0,34,male,Irish,5,pg,no-glasses,,55,difficult,visual,0,med,19/19026,0,35,40,30,85,30,30,1467,0,0
0,34,male,Irish,5,pg,no-glasses,,55,difficult,visual,0,lrg,Apr-39,0,35,40,30,85,30,30,1512,0,0
0,34,male,Irish,5,pg,no-glasses,,55,difficult,visual,1,sml,Jul-05,2,35,40,30,85,30,30,1952,0,0
0,34,male,Irish,5,pg,no-glasses,,55,difficult,visual,0,sml,Sep-10,0,35,40,30,85,30,30,2160,0,0
0,34,male,Irish,5,pg,no-glasses,,55,difficult,visual,1,med,13/13911,2,35,40,30,85,30,30,1581,0,0
0,34,male,Irish,5,pg,no-glasses,,57,easy,semantic,1,sml,32/32627,2,25,25,20,90,20,20,5590,1,0
0,34,male,Irish,5,pg,no-glasses,,57,easy,semantic,1,lrg,38/38876,2,25,25,20,90,20,20,2231,0,0
0,34,male,Irish,5,pg,no-glasses,,57,easy,semantic,1,med,38/38874,2,25,25,20,90,20,20,1384,0,0
0,34,male,Irish,5,pg,no-glasses,,57,easy,semantic,0,sml,Feb-02,0,25,25,20,90,20,20,1671,0,0
0,34,male,Irish,5,pg,no-glasses,,57,easy,semantic,0,med,30/30137,0,25,25,20,90,20,20,1476,0,0
0,34,male,Irish,5,pg,no-glasses,,57,easy,semantic,0,lrg,34/34198,0,25,25,20,90,20,20,1807,0,0
0,34,male,Irish,5,pg,no-glasses,,38,medium_hard,medium_visual,1,lrg,10/10717,2,70,50,60,30,70,50,14615,1,0
0,34,male,Irish,5,pg,no-glasses,,38,medium_hard,medium_visual,1,sml,Jul-28,2,70,50,60,30,70,50,2134,0,0
0,34,male,Irish,5,pg,no-glasses,,38,medium_hard,medium_visual,0,med,10/10949,0,70,50,60,30,70,50,4821,0,0
0,34,male,Irish,5,pg,no-glasses,,38,medium_hard,medium_visual,1,med,16/16034,2,70,50,60,30,70,50,1660,0,0
