EXPERIMENT,ID,TOPIC,TRECREL,TRECBIN,DOCID,SCALEORDER,CATEGORIES,knowledge,userrel,userelbin,agree?,Agree range,contjud,rangemin,rangemax,rangemid,judgmidpoint,rangesize,time,viewdoc,viewtopic,logtime,mm_count,mm_distance,x_extent,y_extent,window_width,window_height,document_width,document_height,needs_scroll_horiz,needs_scroll_vert,max_horiz_scroll,max_vert_scroll,document_missed,scroll_count,resize_count,x_mean_pos,y_mean_pos,x_median_pos,y_median_pos,x_sd_pos,y_sd_pos,cont_changes,range_changes,cat_changes,instruction_read_time,practice_read_time,topic_read_time
LAB,557964d4dfcb9,362,0,0,NYT19991105.0106,123,2,7,0,0,1,#NAME?,14,24,81,52.5,1,57,8967,0,0,8966,450,3733.579918,1382,1388,1663,925,1663,2286,no,yes,NA,1,0,14,0,1081.571111,1237.573333,1378.5,1457,500.3630847,480.6893901,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,2,2,NYT20000717.0216,312,2,7,1,1,0,,21,13,86,49.5,1,73,4179,0,0,4178,264,807.7420434,229,205,1663,925,1663,2395,no,yes,None,None,0.613778706,0,0,1402.825758,125.7992424,1405,136.5,58.06316165,68.12313722,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,2,2,NYT20000111.0385,231,2,7,1,1,0,,19,57,82,69.5,1,25,5612,0,0,5611,294,924.1851785,223,217,1663,925,1663,1987,no,yes,None,None,0.534474082,0,0,1430.05102,116.122449,1434.5,96,51.52573944,51.5226711,1,5,1,406008,2528,3448
LAB,557964d4dfcb9,362,2,2,NYT19990922.0390,321,2,7,1,1,0,,80,8,87,47.5,1,79,3749,0,0,3749,215,806.858715,253,206,1663,925,1663,1042,no,yes,None,None,0.112284069,0,0,1428.404651,122.5534884,1463,134,86.78552884,71.99523397,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,0,0,XIE19980809.0129,231,2,7,1,1,0,,3,17,84,50.5,1,67,4622,0,0,4621,284,1046.463712,237,200,1663,925,1663,1077,no,yes,None,None,0.141132776,0,0,1420.302817,121.9049296,1401.5,100,63.18585401,53.4754801,1,3,1,406008,2528,3448
LAB,557964d4dfcb9,362,0,0,NYT19981209.0167,213,2,7,0,0,1,,34,10,83,46.5,1,73,4237,0,0,4236,212,913.3733357,260,225,1663,925,1663,2397,no,yes,None,None,0.61410096,0,0,1394.816038,126.4575472,1392.5,138,68.16219246,65.98860371,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,0,0,XIE20000222.0131,321,2,7,0,0,1,,67,11,94,52.5,1,83,3373,0,0,3372,209,765.5462635,270,201,1680,925,1680,925,no,no,None,None,0,0,0,1433.813397,113.8325359,1404,102,85.53732098,65.05349643,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,1,1,APW19981021.1018,132,2,7,1,1,1,,73,8,85,46.5,1,77,4728,0,0,4726,247,937.8115459,235,198,1680,925,1680,925,no,no,None,None,0,0,0,1441.319838,117.8259109,1435,103,69.36763534,54.83647213,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,2,2,APW20000707.0006,132,2,7,1,1,0,,11,15,88,51.5,1,73,3646,0,0,3644,226,762.5792966,237,204,1680,925,1680,925,no,no,None,None,0,0,0,1432.933628,123.1371681,1414,110.5,76.04115858,64.91556046,1,2,1,406008,2528,3448
LAB,557964d4dfcb9,362,1,1,XIE19991115.0217,213,2,7,0,0,0,,38,6,89,47.5,1,83,3886,0,0,3885,259,937.7875488,240,210,1680,925,1680,925,no,no,None,None,0,0,0,1415.266409,131.6756757,1397,147,65.72819937,57.00736919,1,2,1,406008,2528,3448
